time,temperature_2m_max,temperature_2m_min,precipitation_sum,precipitation_probability_max,windspeed_10m_max,windgusts_10m_max,weathercode,city,lat,lng,month,year,day,temperature_category,precipitation_category,wind_category
2026-09-20,21.7,19.7,0.0,0,29.9,37.4,0,Ad Dakhla,23.7167,-15.95,9,2026,20,Modérée,Aucune,Modéré
2026-09-21,22.6,19.9,0.4,11,32.7,38.9,51,Ad Dakhla,23.7167,-15.95,9,2026,21,Modérée,Faible,Modéré
2026-09-22,22.8,20.4,0.30000000000000004,14,32.8,41.0,51,Ad Dakhla,23.7167,-15.95,9,2026,22,Modérée,Faible,Modéré
2026-09-23,22.9,20.2,0.0,2,32.9,39.2,3,Ad Dakhla,23.7167,-15.95,9,2026,23,Modérée,Aucune,Modéré
2026-09-24,32.8,22.9,0.0,0,40.2,49.7,3,Ad Dakhla,23.7167,-15.95,9,2026,24,Chaude,Aucune,Fort
2026-09-25,27.0,22.5,0.0,0,36.0,51.5,3,Ad Dakhla,23.7167,-15.95,9,2026,25,Modérée,Aucune,Modéré
2026-09-26,22.4,21.6,0.0,2,24.8,36.0,3,Ad Dakhla,23.7167,-15.95,9,2026,26,Modérée,Aucune,Modéré
2026-09-20,34.4,19.6,0.0,0,15.7,31.0,2,Ad Darwa,33.4167,-7.5333,9,2026,20,Chaude,Aucune,Faible
2026-09-21,37.1,21.0,0.0,0,18.0,35.3,2,Ad Darwa,33.4167,-7.5333,9,2026,21,Chaude,Aucune,Faible
2026-09-22,34.1,19.6,0.0,0,15.7,30.6,1,Ad Darwa,33.4167,-7.5333,9,2026,22,Chaude,Aucune,Faible
2026-09-23,33.2,18.3,0.0,0,14.8,29.5,45,Ad Darwa,33.4167,-7.5333,9,2026,23,Chaude,Aucune,Faible
2026-09-24,32.4,17.9,0.0,0,16.6,32.8,45,Ad Darwa,33.4167,-7.5333,9,2026,24,Chaude,Aucune,Faible
2026-09-25,34.0,17.5,0.0,0,18.3,34.9,45,Ad Darwa,33.4167,-7.5333,9,2026,25,Chaude,Aucune,Faible
2026-09-26,31.0,17.7,0.0,0,17.1,33.1,3,Ad Darwa,33.4167,-7.5333,9,2026,26,Chaude,Aucune,Faible
2026-09-20,29.9,22.4,0.0,0,10.1,31.7,45,Agadir,30.4214,-9.5831,9,2026,20,Modérée,Aucune,Faible
2026-09-21,35.4,22.9,0.0,0,9.4,27.7,3,Agadir,30.4214,-9.5831,9,2026,21,Chaude,Aucune,Faible
2026-09-22,37.8,25.8,0.0,0,16.6,47.9,3,Agadir,30.4214,-9.5831,9,2026,22,Chaude,Aucune,Faible
2026-09-23,36.6,24.7,0.0,0,19.5,46.4,3,Agadir,30.4214,-9.5831,9,2026,23,Chaude,Aucune,Faible
2026-09-24,34.0,23.4,0.0,0,10.0,31.0,1,Agadir,30.4214,-9.5831,9,2026,24,Chaude,Aucune,Faible
2026-09-25,33.0,22.1,0.0,0,12.9,26.6,3,Agadir,30.4214,-9.5831,9,2026,25,Chaude,Aucune,Faible
2026-09-26,27.6,21.5,0.0,0,11.0,22.7,3,Agadir,30.4214,-9.5831,9,2026,26,Modérée,Aucune,Faible
2026-09-20,32.0,19.4,0.0,3,20.2,42.1,3,Aguelmous,33.1324,-5.8366,9,2026,20,Chaude,Aucune,Modéré
2026-09-21,31.9,19.9,0.0,0,21.3,42.8,2,Aguelmous,33.1324,-5.8366,9,2026,21,Chaude,Aucune,Modéré
2026-09-22,31.0,18.7,0.0,0,18.6,37.8,1,Aguelmous,33.1324,-5.8366,9,2026,22,Chaude,Aucune,Faible
2026-09-23,31.6,17.6,0.0,0,16.2,38.2,0,Aguelmous,33.1324,-5.8366,9,2026,23,Chaude,Aucune,Faible
2026-09-24,32.7,18.8,0.0,0,16.6,41.8,0,Aguelmous,33.1324,-5.8366,9,2026,24,Chaude,Aucune,Faible
2026-09-25,33.3,17.9,0.0,0,16.2,36.4,1,Aguelmous,33.1324,-5.8366,9,2026,25,Chaude,Aucune,Faible
2026-09-26,31.4,18.8,0.0,3,14.9,32.8,3,Aguelmous,33.1324,-5.8366,9,2026,26,Chaude,Aucune,Faible
2026-09-20,35.2,18.3,0.0,0,18.5,36.4,1,Ain El Aouda,33.8111,-6.7922,9,2026,20,Chaude,Aucune,Faible
2026-09-21,36.0,19.7,0.0,0,16.5,32.4,2,Ain El Aouda,33.8111,-6.7922,9,2026,21,Chaude,Aucune,Faible
2026-09-22,33.2,18.8,0.0,0,14.2,28.1,1,Ain El Aouda,33.8111,-6.7922,9,2026,22,Chaude,Aucune,Faible
2026-09-23,32.9,16.7,0.0,0,15.5,31.3,0,Ain El Aouda,33.8111,-6.7922,9,2026,23,Chaude,Aucune,Faible
2026-09-24,32.7,17.7,0.0,0,15.8,32.8,1,Ain El Aouda,33.8111,-6.7922,9,2026,24,Chaude,Aucune,Faible
2026-09-25,33.9,16.6,0.0,0,16.1,32.8,3,Ain El Aouda,33.8111,-6.7922,9,2026,25,Chaude,Aucune,Faible
2026-09-26,30.7,16.3,0.0,0,16.4,31.7,3,Ain El Aouda,33.8111,-6.7922,9,2026,26,Chaude,Aucune,Faible
2026-09-20,28.0,20.2,0.0,0,19.1,31.7,2,Ait Ali,30.1739,-9.4881,9,2026,20,Modérée,Aucune,Faible
2026-09-21,40.4,22.4,0.0,0,18.5,32.0,3,Ait Ali,30.1739,-9.4881,9,2026,21,Extrême,Aucune,Faible
2026-09-22,39.6,24.2,0.0,0,25.3,47.2,3,Ait Ali,30.1739,-9.4881,9,2026,22,Extrême,Aucune,Modéré
2026-09-23,37.4,23.4,0.0,0,20.2,35.3,3,Ait Ali,30.1739,-9.4881,9,2026,23,Chaude,Aucune,Modéré
2026-09-24,35.1,22.4,0.0,0,18.4,32.4,1,Ait Ali,30.1739,-9.4881,9,2026,24,Chaude,Aucune,Faible
2026-09-25,28.2,20.2,0.0,0,17.8,31.7,3,Ait Ali,30.1739,-9.4881,9,2026,25,Modérée,Aucune,Faible
2026-09-26,27.7,21.1,0.0,0,16.9,29.2,3,Ait Ali,30.1739,-9.4881,9,2026,26,Modérée,Aucune,Faible
2026-09-20,27.5,20.3,0.0,0,17.7,36.0,2,Ait Melloul,30.3342,-9.4972,9,2026,20,Modérée,Aucune,Faible
2026-09-21,38.7,22.2,0.0,0,12.6,28.1,3,Ait Melloul,30.3342,-9.4972,9,2026,21,Extrême,Aucune,Faible
2026-09-22,39.3,23.3,0.0,0,21.3,43.2,3,Ait Melloul,30.3342,-9.4972,9,2026,22,Extrême,Aucune,Modéré
2026-09-23,35.5,22.6,0.0,0,15.5,32.4,3,Ait Melloul,30.3342,-9.4972,9,2026,23,Chaude,Aucune,Faible
2026-09-24,32.8,21.6,0.0,0,15.5,31.7,0,Ait Melloul,30.3342,-9.4972,9,2026,24,Chaude,Aucune,Faible
2026-09-25,33.3,20.5,0.0,0,12.9,26.6,3,Ait Melloul,30.3342,-9.4972,9,2026,25,Chaude,Aucune,Faible
2026-09-26,27.9,21.8,0.0,0,11.0,22.7,3,Ait Melloul,30.3342,-9.4972,9,2026,26,Modérée,Aucune,Faible
2026-09-20,35.1,23.5,0.2,13,12.9,25.2,3,Ait Ourir,31.5644,-7.6628,9,2026,20,Chaude,Faible,Faible
2026-09-21,35.8,23.6,0.0,5,17.6,33.1,3,Ait Ourir,31.5644,-7.6628,9,2026,21,Chaude,Aucune,Faible
2026-09-22,35.0,21.5,0.0,0,14.2,27.0,1,Ait Ourir,31.5644,-7.6628,9,2026,22,Chaude,Aucune,Faible
2026-09-23,35.3,20.1,0.0,0,12.1,23.4,0,Ait Ourir,31.5644,-7.6628,9,2026,23,Chaude,Aucune,Faible
2026-09-24,35.5,19.9,0.0,2,13.0,24.1,0,Ait Ourir,31.5644,-7.6628,9,2026,24,Chaude,Aucune,Faible
2026-09-25,35.5,19.6,0.0,3,14.0,28.4,3,Ait Ourir,31.5644,-7.6628,9,2026,25,Chaude,Aucune,Faible
2026-09-26,31.0,20.5,0.0,3,5.2,11.9,3,Ait Ourir,31.5644,-7.6628,9,2026,26,Chaude,Aucune,Faible
2026-09-20,26.8,21.7,0.0,3,28.6,50.0,3,Al Aaroui,35.0104,-3.0073,9,2026,20,Modérée,Aucune,Modéré
2026-09-21,26.4,20.3,0.0,0,24.2,42.5,45,Al Aaroui,35.0104,-3.0073,9,2026,21,Modérée,Aucune,Modéré
2026-09-22,27.2,17.7,0.0,0,21.4,37.1,45,Al Aaroui,35.0104,-3.0073,9,2026,22,Modérée,Aucune,Modéré
2026-09-23,27.2,17.0,0.0,0,21.7,37.8,45,Al Aaroui,35.0104,-3.0073,9,2026,23,Modérée,Aucune,Modéré
2026-09-24,28.3,16.1,0.0,0,20.4,36.7,45,Al Aaroui,35.0104,-3.0073,9,2026,24,Modérée,Aucune,Modéré
2026-09-25,36.6,15.2,0.0,0,13.4,23.8,45,Al Aaroui,35.0104,-3.0073,9,2026,25,Chaude,Aucune,Faible
2026-09-26,29.9,17.1,0.0,0,16.4,31.0,3,Al Aaroui,35.0104,-3.0073,9,2026,26,Modérée,Aucune,Faible
2026-09-20,38.1,23.0,0.0,3,18.9,41.0,2,Al Fqih Ben Çalah,32.507,-6.6886,9,2026,20,Extrême,Aucune,Faible
2026-09-21,37.8,20.7,0.0,3,14.4,28.4,2,Al Fqih Ben Çalah,32.507,-6.6886,9,2026,21,Chaude,Aucune,Faible
2026-09-22,36.9,19.8,0.0,0,10.7,21.6,2,Al Fqih Ben Çalah,32.507,-6.6886,9,2026,22,Chaude,Aucune,Faible
2026-09-23,36.9,17.7,0.0,0,15.6,29.2,0,Al Fqih Ben Çalah,32.507,-6.6886,9,2026,23,Chaude,Aucune,Faible
2026-09-24,37.8,17.7,0.0,0,14.4,28.4,0,Al Fqih Ben Çalah,32.507,-6.6886,9,2026,24,Chaude,Aucune,Faible
2026-09-25,38.6,16.5,0.0,0,10.0,20.9,3,Al Fqih Ben Çalah,32.507,-6.6886,9,2026,25,Extrême,Aucune,Faible
2026-09-26,34.1,17.4,0.0,0,10.9,24.5,3,Al Fqih Ben Çalah,32.507,-6.6886,9,2026,26,Chaude,Aucune,Faible
2026-09-20,28.2,23.0,0.0,0,29.0,51.8,2,Al Hoceïma,35.2472,-3.9322,9,2026,20,Modérée,Aucune,Modéré
2026-09-21,28.8,20.3,0.0,0,24.4,43.6,1,Al Hoceïma,35.2472,-3.9322,9,2026,21,Modérée,Aucune,Modéré
2026-09-22,27.6,17.4,0.0,0,16.4,30.2,2,Al Hoceïma,35.2472,-3.9322,9,2026,22,Modérée,Aucune,Faible
2026-09-23,26.4,17.2,0.0,0,12.7,23.8,45,Al Hoceïma,35.2472,-3.9322,9,2026,23,Modérée,Aucune,Faible
2026-09-24,27.1,19.2,0.0,0,10.4,22.3,45,Al Hoceïma,35.2472,-3.9322,9,2026,24,Modérée,Aucune,Faible
2026-09-25,30.4,18.7,0.0,0,7.6,15.1,45,Al Hoceïma,35.2472,-3.9322,9,2026,25,Chaude,Aucune,Faible
2026-09-26,26.7,20.3,0.0,0,8.5,17.3,45,Al Hoceïma,35.2472,-3.9322,9,2026,26,Modérée,Aucune,Faible
2026-09-20,37.5,20.6,0.0,0,18.6,38.2,2,Al Khmissat,33.81,-6.06,9,2026,20,Chaude,Aucune,Faible
2026-09-21,36.7,21.8,0.0,0,15.8,30.6,2,Al Khmissat,33.81,-6.06,9,2026,21,Chaude,Aucune,Faible
2026-09-22,34.3,18.4,0.0,0,13.3,28.1,0,Al Khmissat,33.81,-6.06,9,2026,22,Chaude,Aucune,Faible
2026-09-23,34.8,18.3,0.0,0,15.2,33.1,0,Al Khmissat,33.81,-6.06,9,2026,23,Chaude,Aucune,Faible
2026-09-24,35.6,18.6,0.0,0,18.0,41.4,0,Al Khmissat,33.81,-6.06,9,2026,24,Chaude,Aucune,Faible
2026-09-25,36.0,17.9,0.0,0,18.8,36.0,1,Al Khmissat,33.81,-6.06,9,2026,25,Chaude,Aucune,Faible
2026-09-26,32.6,14.9,0.0,0,15.7,30.2,3,Al Khmissat,33.81,-6.06,9,2026,26,Chaude,Aucune,Faible
2026-09-20,35.6,22.3,0.0,8,11.6,20.2,3,Al ’Attawia,31.83,-7.31,9,2026,20,Chaude,Aucune,Faible
2026-09-21,35.9,21.9,0.0,0,17.4,30.2,3,Al ’Attawia,31.83,-7.31,9,2026,21,Chaude,Aucune,Faible
2026-09-22,35.1,20.8,0.0,0,15.4,27.7,2,Al ’Attawia,31.83,-7.31,9,2026,22,Chaude,Aucune,Faible
2026-09-23,35.0,18.9,0.0,0,14.8,27.0,0,Al ’Attawia,31.83,-7.31,9,2026,23,Chaude,Aucune,Faible
2026-09-24,35.3,18.4,0.0,0,13.3,24.8,0,Al ’Attawia,31.83,-7.31,9,2026,24,Chaude,Aucune,Faible
2026-09-25,35.7,17.2,0.0,0,17.5,32.4,3,Al ’Attawia,31.83,-7.31,9,2026,25,Chaude,Aucune,Faible
2026-09-26,30.7,17.6,0.0,5,9.2,19.8,3,Al ’Attawia,31.83,-7.31,9,2026,26,Chaude,Aucune,Faible
2026-09-20,31.2,20.5,0.0,18,8.6,23.8,3,Arfoud,31.4361,-4.2328,9,2026,20,Chaude,Aucune,Faible
2026-09-21,33.2,20.8,0.1,13,18.9,29.2,3,Arfoud,31.4361,-4.2328,9,2026,21,Chaude,Faible,Faible
2026-09-22,31.8,20.9,0.0,3,11.6,17.6,2,Arfoud,31.4361,-4.2328,9,2026,22,Chaude,Aucune,Faible
2026-09-23,31.1,20.6,0.0,0,8.0,13.0,2,Arfoud,31.4361,-4.2328,9,2026,23,Chaude,Aucune,Faible
2026-09-24,32.5,21.4,0.0,0,9.5,17.3,2,Arfoud,31.4361,-4.2328,9,2026,24,Chaude,Aucune,Faible
2026-09-25,34.7,22.8,0.0,2,11.0,16.6,2,Arfoud,31.4361,-4.2328,9,2026,25,Chaude,Aucune,Faible
2026-09-26,33.9,20.6,0.0,0,7.7,14.4,3,Arfoud,31.4361,-4.2328,9,2026,26,Chaude,Aucune,Faible
2026-09-20,30.3,24.0,0.0,0,30.6,55.8,1,Asilah,35.4667,-6.0333,9,2026,20,Chaude,Aucune,Modéré
2026-09-21,31.0,23.4,0.0,0,23.9,43.9,1,Asilah,35.4667,-6.0333,9,2026,21,Chaude,Aucune,Modéré
2026-09-22,30.6,22.5,0.0,0,19.2,33.8,1,Asilah,35.4667,-6.0333,9,2026,22,Chaude,Aucune,Faible
2026-09-23,31.3,21.1,0.0,0,18.5,36.0,1,Asilah,35.4667,-6.0333,9,2026,23,Chaude,Aucune,Faible
2026-09-24,32.1,22.1,0.0,0,22.6,42.1,0,Asilah,35.4667,-6.0333,9,2026,24,Chaude,Aucune,Modéré
2026-09-25,33.1,20.3,0.0,0,14.0,30.2,2,Asilah,35.4667,-6.0333,9,2026,25,Chaude,Aucune,Faible
2026-09-26,31.5,18.8,0.0,0,12.2,23.0,3,Asilah,35.4667,-6.0333,9,2026,26,Chaude,Aucune,Faible
2026-09-20,28.4,19.1,0.0,0,12.6,23.4,45,Azemmour,33.2833,-8.3333,9,2026,20,Modérée,Aucune,Faible
2026-09-21,32.4,20.4,0.0,0,19.7,36.0,45,Azemmour,33.2833,-8.3333,9,2026,21,Chaude,Aucune,Faible
2026-09-22,29.3,19.4,0.0,0,15.2,27.7,45,Azemmour,33.2833,-8.3333,9,2026,22,Modérée,Aucune,Faible
2026-09-23,28.0,19.4,0.0,0,14.1,26.6,45,Azemmour,33.2833,-8.3333,9,2026,23,Modérée,Aucune,Faible
2026-09-24,27.6,19.0,0.0,0,14.3,27.0,45,Azemmour,33.2833,-8.3333,9,2026,24,Modérée,Aucune,Faible
2026-09-25,27.5,20.3,0.0,0,15.9,30.6,45,Azemmour,33.2833,-8.3333,9,2026,25,Modérée,Aucune,Faible
2026-09-26,26.8,20.7,0.0,0,14.0,28.1,3,Azemmour,33.2833,-8.3333,9,2026,26,Modérée,Aucune,Faible
2026-09-20,29.1,19.2,0.1,8,18.9,41.8,3,Aziylal,31.96,-6.5600000000000005,9,2026,20,Modérée,Faible,Faible
2026-09-21,28.1,18.7,0.0,3,20.3,43.6,3,Aziylal,31.96,-6.5600000000000005,9,2026,21,Modérée,Aucune,Modéré
2026-09-22,27.9,17.1,0.0,0,17.5,37.1,2,Aziylal,31.96,-6.5600000000000005,9,2026,22,Modérée,Aucune,Faible
2026-09-23,28.8,17.0,0.0,0,16.1,35.3,0,Aziylal,31.96,-6.5600000000000005,9,2026,23,Modérée,Aucune,Faible
2026-09-24,29.5,17.9,0.0,0,20.1,43.2,0,Aziylal,31.96,-6.5600000000000005,9,2026,24,Modérée,Aucune,Modéré
2026-09-25,30.4,18.2,0.0,0,17.9,37.4,2,Aziylal,31.96,-6.5600000000000005,9,2026,25,Chaude,Aucune,Faible
2026-09-26,28.1,18.2,0.1,3,11.4,31.3,61,Aziylal,31.96,-6.5600000000000005,9,2026,26,Modérée,Faible,Faible
2026-09-20,28.6,18.0,0.0,5,15.0,41.0,3,Azrou,33.4344,-5.2213,9,2026,20,Modérée,Aucune,Faible
2026-09-21,28.5,17.6,0.0,0,20.7,45.7,3,Azrou,33.4344,-5.2213,9,2026,21,Modérée,Aucune,Modéré
2026-09-22,27.4,15.4,0.0,0,18.1,42.8,0,Azrou,33.4344,-5.2213,9,2026,22,Modérée,Aucune,Faible
2026-09-23,28.0,15.8,0.0,0,11.0,29.9,0,Azrou,33.4344,-5.2213,9,2026,23,Modérée,Aucune,Faible
2026-09-24,29.2,17.2,0.0,0,12.4,34.6,0,Azrou,33.4344,-5.2213,9,2026,24,Modérée,Aucune,Faible
2026-09-25,29.7,18.2,0.0,0,10.6,38.2,1,Azrou,33.4344,-5.2213,9,2026,25,Modérée,Aucune,Faible
2026-09-26,29.4,19.3,0.0,0,14.2,37.8,3,Azrou,33.4344,-5.2213,9,2026,26,Modérée,Aucune,Faible
2026-09-20,31.0,19.8,0.0,0,11.4,31.7,2,Aïn Harrouda,33.6372,-7.4483,9,2026,20,Chaude,Aucune,Faible
2026-09-21,32.0,20.4,0.0,0,13.3,35.3,2,Aïn Harrouda,33.6372,-7.4483,9,2026,21,Chaude,Aucune,Faible
2026-09-22,30.3,19.2,0.0,0,11.3,30.6,1,Aïn Harrouda,33.6372,-7.4483,9,2026,22,Chaude,Aucune,Faible
2026-09-23,28.6,19.8,0.0,0,10.6,29.9,45,Aïn Harrouda,33.6372,-7.4483,9,2026,23,Modérée,Aucune,Faible
2026-09-24,28.6,18.7,0.0,0,11.6,32.4,45,Aïn Harrouda,33.6372,-7.4483,9,2026,24,Modérée,Aucune,Faible
2026-09-25,28.8,19.4,0.0,0,12.7,30.2,45,Aïn Harrouda,33.6372,-7.4483,9,2026,25,Modérée,Aucune,Faible
2026-09-26,27.4,18.6,0.0,0,11.6,27.4,3,Aïn Harrouda,33.6372,-7.4483,9,2026,26,Modérée,Aucune,Faible
2026-09-20,35.2,19.5,0.0,0,16.2,31.7,1,Aïn Taoujdat,33.9333,-5.2167,9,2026,20,Chaude,Aucune,Faible
2026-09-21,34.6,20.3,0.0,0,13.9,26.6,3,Aïn Taoujdat,33.9333,-5.2167,9,2026,21,Chaude,Aucune,Faible
2026-09-22,33.0,18.9,0.0,0,12.6,24.1,0,Aïn Taoujdat,33.9333,-5.2167,9,2026,22,Chaude,Aucune,Faible
2026-09-23,33.8,18.0,0.0,0,15.1,28.8,0,Aïn Taoujdat,33.9333,-5.2167,9,2026,23,Chaude,Aucune,Faible
2026-09-24,34.8,18.7,0.0,0,17.5,33.5,0,Aïn Taoujdat,33.9333,-5.2167,9,2026,24,Chaude,Aucune,Faible
2026-09-25,35.8,19.3,0.0,0,18.4,33.8,2,Aïn Taoujdat,33.9333,-5.2167,9,2026,25,Chaude,Aucune,Faible
2026-09-26,34.6,18.4,0.0,0,16.7,30.2,3,Aïn Taoujdat,33.9333,-5.2167,9,2026,26,Chaude,Aucune,Faible
2026-09-20,36.5,18.8,0.0,0,20.5,36.4,2,Barrechid,33.27,-7.5872,9,2026,20,Chaude,Aucune,Modéré
2026-09-21,39.1,20.9,0.0,0,24.2,43.2,3,Barrechid,33.27,-7.5872,9,2026,21,Extrême,Aucune,Modéré
2026-09-22,36.0,18.9,0.0,0,19.4,34.9,1,Barrechid,33.27,-7.5872,9,2026,22,Chaude,Aucune,Faible
2026-09-23,35.1,16.9,0.0,0,17.1,32.8,0,Barrechid,33.27,-7.5872,9,2026,23,Chaude,Aucune,Faible
2026-09-24,34.6,17.7,0.0,0,19.8,36.4,0,Barrechid,33.27,-7.5872,9,2026,24,Chaude,Aucune,Faible
2026-09-25,33.4,17.5,0.0,0,18.8,33.8,45,Barrechid,33.27,-7.5872,9,2026,25,Chaude,Aucune,Faible
2026-09-26,30.7,18.1,0.0,0,18.7,34.6,45,Barrechid,33.27,-7.5872,9,2026,26,Chaude,Aucune,Faible
2026-09-20,36.9,23.8,0.0,3,20.4,42.5,3,Ben Guerir,32.23,-7.95,9,2026,20,Chaude,Aucune,Modéré
2026-09-21,37.7,24.8,0.0,3,25.5,50.4,3,Ben Guerir,32.23,-7.95,9,2026,21,Chaude,Aucune,Modéré
2026-09-22,36.2,23.4,0.0,0,14.7,29.9,1,Ben Guerir,32.23,-7.95,9,2026,22,Chaude,Aucune,Faible
2026-09-23,36.0,20.6,0.0,0,13.5,27.0,0,Ben Guerir,32.23,-7.95,9,2026,23,Chaude,Aucune,Faible
2026-09-24,35.7,20.0,0.0,0,14.1,30.6,0,Ben Guerir,32.23,-7.95,9,2026,24,Chaude,Aucune,Faible
2026-09-25,36.3,20.0,0.0,0,19.2,36.4,3,Ben Guerir,32.23,-7.95,9,2026,25,Chaude,Aucune,Faible
2026-09-26,33.3,20.6,0.0,0,20.0,34.9,3,Ben Guerir,32.23,-7.95,9,2026,26,Chaude,Aucune,Modéré
2026-09-20,32.8,19.0,0.0,0,16.4,31.0,2,Beni Yakhlef,33.6555,-7.3221,9,2026,20,Chaude,Aucune,Faible
2026-09-21,34.4,20.0,0.0,0,18.4,33.8,2,Beni Yakhlef,33.6555,-7.3221,9,2026,21,Chaude,Aucune,Faible
2026-09-22,32.0,18.4,0.0,0,15.6,29.2,1,Beni Yakhlef,33.6555,-7.3221,9,2026,22,Chaude,Aucune,Faible
2026-09-23,30.5,18.0,0.0,0,16.2,29.9,45,Beni Yakhlef,33.6555,-7.3221,9,2026,23,Chaude,Aucune,Faible
2026-09-24,30.2,17.3,0.0,0,17.0,32.0,45,Beni Yakhlef,33.6555,-7.3221,9,2026,24,Chaude,Aucune,Faible
2026-09-25,30.6,17.7,0.0,0,16.2,30.6,45,Beni Yakhlef,33.6555,-7.3221,9,2026,25,Chaude,Aucune,Faible
2026-09-26,28.3,17.5,0.0,0,14.5,28.1,3,Beni Yakhlef,33.6555,-7.3221,9,2026,26,Modérée,Aucune,Faible
2026-09-20,27.7,20.2,0.0,0,17.4,36.0,45,Berkane,34.9167,-2.3167,9,2026,20,Modérée,Aucune,Faible
2026-09-21,26.4,19.0,0.0,3,17.9,36.7,45,Berkane,34.9167,-2.3167,9,2026,21,Modérée,Aucune,Faible
2026-09-22,26.8,16.7,0.0,0,17.4,34.9,3,Berkane,34.9167,-2.3167,9,2026,22,Modérée,Aucune,Faible
2026-09-23,27.0,17.8,0.0,0,15.1,32.4,2,Berkane,34.9167,-2.3167,9,2026,23,Modérée,Aucune,Faible
2026-09-24,27.5,17.0,0.0,0,15.3,32.4,1,Berkane,34.9167,-2.3167,9,2026,24,Modérée,Aucune,Faible
2026-09-25,34.5,17.4,0.0,0,12.6,22.7,1,Berkane,34.9167,-2.3167,9,2026,25,Chaude,Aucune,Faible
2026-09-26,29.1,19.9,0.0,0,12.3,23.4,3,Berkane,34.9167,-2.3167,9,2026,26,Modérée,Aucune,Faible
2026-09-20,31.0,20.6,0.0,0,19.2,31.7,2,Biougra,30.2144,-9.3708,9,2026,20,Chaude,Aucune,Faible
2026-09-21,40.3,23.0,0.0,0,18.2,32.8,3,Biougra,30.2144,-9.3708,9,2026,21,Extrême,Aucune,Faible
2026-09-22,40.3,25.1,0.0,0,28.2,51.5,3,Biougra,30.2144,-9.3708,9,2026,22,Extrême,Aucune,Modéré
2026-09-23,38.4,24.4,0.0,0,21.2,36.7,3,Biougra,30.2144,-9.3708,9,2026,23,Extrême,Aucune,Modéré
2026-09-24,36.7,23.8,0.0,0,18.6,33.8,1,Biougra,30.2144,-9.3708,9,2026,24,Chaude,Aucune,Faible
2026-09-25,29.0,18.8,0.0,0,21.7,36.7,3,Biougra,30.2144,-9.3708,9,2026,25,Modérée,Aucune,Modéré
2026-09-26,26.7,19.8,0.0,0,19.1,35.3,3,Biougra,30.2144,-9.3708,9,2026,26,Modérée,Aucune,Faible
2026-09-20,30.5,19.6,0.0,0,15.1,29.9,2,Bir Jdid,33.3737,-8.0002,9,2026,20,Chaude,Aucune,Faible
2026-09-21,33.5,20.7,0.0,0,16.5,32.8,3,Bir Jdid,33.3737,-8.0002,9,2026,21,Chaude,Aucune,Faible
2026-09-22,30.8,19.6,0.0,0,15.5,30.2,1,Bir Jdid,33.3737,-8.0002,9,2026,22,Chaude,Aucune,Faible
2026-09-23,29.1,18.9,0.0,0,14.6,28.4,45,Bir Jdid,33.3737,-8.0002,9,2026,23,Modérée,Aucune,Faible
2026-09-24,29.1,18.4,0.0,0,15.9,31.0,45,Bir Jdid,33.3737,-8.0002,9,2026,24,Modérée,Aucune,Faible
2026-09-25,28.1,19.4,0.0,0,16.7,32.4,45,Bir Jdid,33.3737,-8.0002,9,2026,25,Modérée,Aucune,Faible
2026-09-26,27.1,18.8,0.0,0,15.1,29.9,3,Bir Jdid,33.3737,-8.0002,9,2026,26,Modérée,Aucune,Faible
2026-09-20,27.2,15.4,0.5,30,13.1,23.0,80,Bou Arfa,32.531,-1.9631,9,2026,20,Modérée,Faible,Faible
2026-09-21,28.1,15.9,0.0,3,17.1,26.6,2,Bou Arfa,32.531,-1.9631,9,2026,21,Modérée,Aucune,Faible
2026-09-22,26.9,15.2,0.0,0,10.8,19.1,2,Bou Arfa,32.531,-1.9631,9,2026,22,Modérée,Aucune,Faible
2026-09-23,27.9,13.2,0.0,0,10.3,15.8,1,Bou Arfa,32.531,-1.9631,9,2026,23,Modérée,Aucune,Faible
2026-09-24,28.9,15.1,0.0,0,14.2,22.7,1,Bou Arfa,32.531,-1.9631,9,2026,24,Modérée,Aucune,Faible
2026-09-25,30.6,14.3,0.0,0,11.7,20.5,0,Bou Arfa,32.531,-1.9631,9,2026,25,Chaude,Aucune,Faible
2026-09-26,30.9,13.4,0.0,3,13.3,23.0,3,Bou Arfa,32.531,-1.9631,9,2026,26,Chaude,Aucune,Faible
2026-09-20,35.9,21.9,0.0,0,24.6,48.6,2,Boujad,32.7741,-6.3925,9,2026,20,Chaude,Aucune,Modéré
2026-09-21,35.3,21.8,0.0,0,18.2,34.2,2,Boujad,32.7741,-6.3925,9,2026,21,Chaude,Aucune,Faible
2026-09-22,34.3,20.1,0.0,0,14.1,25.6,2,Boujad,32.7741,-6.3925,9,2026,22,Chaude,Aucune,Faible
2026-09-23,34.3,18.9,0.0,0,15.3,27.4,0,Boujad,32.7741,-6.3925,9,2026,23,Chaude,Aucune,Faible
2026-09-24,35.3,18.4,0.0,0,15.2,29.9,1,Boujad,32.7741,-6.3925,9,2026,24,Chaude,Aucune,Faible
2026-09-25,35.8,19.0,0.0,0,10.6,35.6,3,Boujad,32.7741,-6.3925,9,2026,25,Chaude,Aucune,Faible
2026-09-26,33.4,18.9,0.0,3,12.1,29.2,3,Boujad,32.7741,-6.3925,9,2026,26,Chaude,Aucune,Faible
2026-09-20,30.4,20.4,0.0,0,10.9,21.2,1,Bouknadel,34.1766,-6.6893,9,2026,20,Chaude,Aucune,Faible
